"000010","Christine","Haas","1995-01-01","18","1.52750000000000000E+05","1.00000000000000000E+03","17.12.30.000000"
"000020","Micheal","Thompson","2003-10-10","18","9.42500000000000000E+04","8.00000000000000000E+02","08.53.58.000000"
"000030","Sally","Kwan","2005-04-05","20","9.82500000000000000E+04","8.00000000000000000E+02","14.07.21.136421"
"000050","John","Geyer","1979-08-17","16","8.01750000000000000E+04","8.00000000000000000E+02","00:00:09.000000"
"000060","Irving","Stern","2003-09-14","16","7.22500000000000000E+04","5.00000000000000000E+02","00:00:09.123456"
"000070","Eva*","Pulaski","2005-09-30","16","9.61700000000000000E+04","7.00000000000000000E+02","00:00:10.123456"
"000090","Eileen","Henderson","2000-08-15","16","8.97500000000000000E+04","6.00000000000000000E+02","00:00:11.123456"
"000100","Theodore","Spenser","2000-06-19","14","8.61500000000000000E+04","5.00000000000000000E+02","00:00:12.123456"
"000110","Vincenzo","Lucchessi","1988-05-16","19","6.65000000000000000E+04","9.00000000000000000E+02","00:00:13.123456"
"000120","Sean","O'Connel","1993-12-05","14","4.92500000000000000E+04","6.00000000000000000E+02","00:00:14.123456"
"000130","Delores","Quintana","2001-07-28","16","7.38000000000000000E+04","5.00000000000000000E+02","00:00:15.123456"
"000140","Heather","Nicholls","2006-12-15","18","6.84200000000000000E+04","6.00000000000000000E+02","00:00:16.123456"
"000150","Bruce","Adamson","2002-02-12","16","5.52800000000000000E+04","5.00000000000000000E+02","00:00:17.123456"
"000160","Elizabeth*","Pianka","2006-10-11","17","6.22500000000000000E+04","4.00000000000000000E+02","00:00:18.123456"
"000170","Masatoshi","Yoshimura","1999-09-15","16","4.46800000000000000E+04","5.00000000000000000E+02","00:00:19.123456"
"000180","Marilyn","Scoutten","2003-07-07","17","5.13400000000000000E+04","5.00000000000000000E+02","00:00:20.123456"
"000190","James","Walker","2004-07-26","16","5.04500000000000000E+04","4.00000000000000000E+02","00:00:21.123456"
"000200","David","Brown","2002-03-03","16","5.77400000000000000E+04","6.00000000000000000E+02","00:00:22.123456"
"000210","William","Jones","1998-04-11","17","6.82700000000000000E+04","4.00000000000000000E+02","00:00:23.123456"
"000220","Jennifer","Lutz","1998-08-29","18","4.98400000000000000E+04","6.00000000000000000E+02","00:00:24.123456"
"000230","James","Jefferson","1996-11-21","14","4.21800000000000000E+04","4.00000000000000000E+02","00:00:25.123456"
"000240","Salvatore*","Marino","2004-12-05","17","4.87600000000000000E+04","6.00000000000000000E+02","00:00:26.123456"
"000250","Daniel","Smith","1999-10-30","15","4.91800000000000000E+04","4.00000000000000000E+02","00:00:27.123456"
"000260","Sybil","Johnson","2005-09-11","16","4.72500000000000000E+04","3.00000000000000000E+02","00:00:28.123456"
"000270","Maria","Perez","2006-09-30","15","3.73800000000000000E+04","5.00000000000000000E+02","00:00:29.123456"
"000280","Ethel","Schneider","1997-03-24","17","3.62500000000000000E+04","5.00000000000000000E+02","00:00:30.123456"
"000290","John*","Parker","2006-05-30","12","3.53400000000000000E+04","3.00000000000000000E+02","00:00:31.123456"
"000300","Philip","Smith","2002-06-19","14","3.77500000000000000E+04","4.00000000000000000E+02","00:00:32.123456"
"000310","Maude","Setright","1994-09-12","12","3.59000000000000000E+04","3.00000000000000000E+02","00:00:33.123456"
"000320","Ramlal","Mehta","1995-07-07","16","3.99500000000000000E+04","4.00000000000000000E+02","00:00:34.123456"
"000330","Wing","Lee","2006-02-23","14","4.53700000000000000E+04","5.00000000000000000E+02","00:00:35.123456"
"000340","Jason","Gounot","1977-05-05","16","4.38400000000000000E+04","5.00000000000000000E+02","00:00:36.123456"
"200010","Dian","Hemminger","1995-01-01","18","4.65000000000000000E+04","1.00000000000000000E+03","00:00:37.123456"
"200120","Greg","Orlando","2002-05-05","14","3.92500000000000000E+04","6.00000000000000000E+02","00:00:38.123456"
"200140","Kim","Natz","2006-12-15","18","6.84200000000000000E+04","6.00000000000000000E+02","00:00:39.123456"
"200170","Kiyoshi","Yamamoto","2005-09-15","16","6.46800000000000000E+04","5.00000000000000000E+02","00:00:40.123456"
"200220","Reba","John","2005-08-29","18","6.98400000000000000E+04","6.00000000000000000E+02","00:00:41.123456"
"200240","Robert","Monteverde","2004-12-05","17","3.77600000000000000E+04","6.00000000000000000E+02","00:00:42.123456"
"200280","Eileen*","Schwartz","1997-03-24","17","4.62500000000000000E+04","5.00000000000000000E+02","00:00:43.123456"
"200310","Michelle","Springer","1994-09-12","12","3.59000000000000000E+04","3.00000000000000000E+02","00:00:44.123456"
"200330","Helena","Wong","2006-02-23","14","3.53700000000000000E+04","5.00000000000000000E+02","00:00:45.123456"
"200340","Roy","Alonzo","1997-07-05","16","3.18400000000000000E+04","5.00000000000000000E+02","00:00:46.123456"
